order_id,order_date,product_category,region,quarter,units_sold,customer_segment,unit_price,revenue
ORD-10119,2025-09-12,Electronics,Northeast,Q3,17.0,Home Office,120.19,2043.23
ORD-10120,2025-10-28,Clothing,Northeast,Q4,15.0,Home Office,15.0,225.0
ORD-10121,2025-12-18,Books,Mid-Atlantic,Q4,17.0,Corporate,7.42,126.14
ORD-10122,2025-01-14,Home & Kitchen,,Q1,10.0,Consumer,31.259999999999998,312.6
ORD-10123,2025-08-15,Home & Kitchen,Southeast,Q3,3.0,Consumer,30.5,91.5
ORD-10124,2025-03-28,Beauty,Northeast,Q1,14.0,Consumer,12.26,171.64
ORD-10125,2025-04-13,Books,Southwest,Q2,1.0,Consumer,200.735,
ORD-10126,2025-10-16,Sports,Northwest,Q4,18.0,Corporate,26.07,469.26
ORD-10127,2025-11-09,Electronics,Southwest,Q4,1.0,Home Office,162.02,162.02
ORD-10128,2025-03-13,Clothing,Southeast,Q1,18.0,Consumer,15.62,281.16
ORD-10129,2025-12-20,Electronics,Midwest,Q4,3.0,Corporate,158.35999999999999,475.08
ORD-10130,2025-07-30,Beauty,New England,Q3,8.0,Corporate,9.62,76.96
ORD-10131,2025-06-20,Electronics,Midwest,Q2,1.0,Consumer,121.33,121.33
ORD-10132,2025-09-03,Clothing,Midwest,Q3,9.0,Home Office,12.58,113.22
ORD-10133,2025-08-27,Sports,Midwest,Q3,2.0,Corporate,20.15,40.3
ORD-10134,2025-09-26,Clothing,Northwest,Q3,20.0,Consumer,13.58,271.6
ORD-10135,2025-08-17,Home & Kitchen,,Q3,6.0,Home Office,32.760000000000005,196.56
ORD-10136,2025-08-18,Clothing,Southwest,Q3,1.0,Corporate,200.735,
ORD-10137,2025-03-30,Electronics,Mountain,Q1,2.0,Consumer,156.52,313.04
ORD-10138,2025-10-02,Clothing,Northwest,Q4,11.0,Corporate,15.62,171.82
ORD-10139,2025-09-27,Clothing,Southeast,Q3,11.0,Corporate,10.95,120.45
ORD-10140,2025-01-14,Sports,Southwest,Q1,1.0,Consumer,21.299999999999997,21.3
ORD-10141,2025-10-17,Clothing,Midwest,Q4,13.0,Home Office,12.48,162.24
ORD-10142,2025-10-31,Clothing,Mid-Atlantic,Q4,13.0,Home Office,16.630000000000003,216.19
ORD-10143,2025-10-10,Sports,West,Q4,8.0,Corporate,21.939999999999998,175.52
ORD-10144,2025-06-09,Beauty,Southwest,Q2,17.0,Corporate,9.73,165.41
ORD-10145,2025-03-30,Sports,Midwest,Q1,4.0,Home Office,24.7,98.8
ORD-10146,2025-08-06,Books,Northeast,Q3,8.0,Consumer,6.0,48.0
ORD-10147,2025-03-05,Sports,Midwest,Q1,15.0,Home Office,27.52,412.8
ORD-10148,2025-10-30,Clothing,West,Q4,5.0,Corporate,11.88,59.4
ORD-10149,2025-02-03,Sports,New England,Q1,11.0,Consumer,23.770000000000003,261.47
ORD-10150,2025-04-18,Home & Kitchen,Southwest,Q2,1.0,Corporate,200.735,
ORD-10151,2025-06-27,Clothing,West,Q2,17.0,Corporate,14.79,251.43
ORD-10152,2025-06-02,Clothing,Southwest,Q2,4.0,Consumer,10.61,42.44
ORD-10153,2025-11-18,Electronics,Northwest,Q4,16.0,Corporate,139.61,2233.76
ORD-10154,2025-05-26,Electronics,West,Q2,9.0,Corporate,167.86,1510.74
ORD-10155,2025-02-27,Electronics,New England,Q1,17.0,Corporate,119.63,2033.71
ORD-10156,2025-04-27,Electronics,Mid-Atlantic,Q2,12.0,Consumer,145.35,1744.2
ORD-10157,2025-08-24,Sports,Northeast,Q3,12.0,Corporate,22.53,270.36
ORD-10158,2025-03-26,Books,Northeast,Q1,12.0,Corporate,7.819999999999999,93.84
ORD-10159,2025-07-19,Home & Kitchen,Southwest,Q3,2.0,Home Office,38.38,76.76
ORD-10160,2025-07-23,Sports,Mountain,Q3,3.0,Home Office,30.5,91.5
ORD-10161,2025-11-16,Electronics,Southeast,Q4,2.0,Home Office,115.85000000000001,231.7
ORD-10162,2025-12-18,Books,West,Q4,20.0,Consumer,5.14,102.8
ORD-10163,2025-12-05,Home & Kitchen,Midwest,Q4,11.0,Home Office,38.09,418.99
ORD-10164,2025-11-20,,Mid-Atlantic,Q4,20.0,Consumer,171.44,3428.8
ORD-10165,2025-06-23,Electronics,Mountain,Q2,12.0,Consumer,133.93,1607.16
ORD-10166,2025-01-28,Clothing,Southwest,Q1,13.0,Consumer,13.53,175.89
ORD-10167,2025-05-27,Electronics,Southwest,Q2,11.0,Home Office,113.53,1248.83
ORD-10168,2025-11-27,Clothing,Midwest,Q4,8.0,Consumer,13.49,107.92
ORD-10169,2025-10-15,Electronics,South,Q4,9.0,Consumer,181.09,1629.81
ORD-10170,2025-10-16,Electronics,Mountain,Q4,1.0,Consumer,145.59,145.59
ORD-10171,2025-02-16,Clothing,Mid-Atlantic,Q1,19.0,Corporate,10.81,205.39
ORD-10172,2025-12-02,Books,Northwest,Q4,17.0,Home Office,6.26,106.42
ORD-10173,2025-04-12,Electronics,Mid-Atlantic,Q2,2.0,Consumer,144.54000000000002,289.08
ORD-10174,2025-02-12,Electronics,Southwest,Q1,7.0,Corporate,123.97999999999999,867.86
ORD-10175,2025-06-23,Beauty,Mid-Atlantic,Q2,18.0,Consumer,10.98,197.64
ORD-10176,2025-01-29,Sports,South,Q1,14.0,Consumer,24.42,341.88
ORD-10177,2025-08-18,Clothing,Midwest,Q3,11.0,Consumer,13.26,145.86
ORD-10178,2025-04-03,Sports,South,Q2,11.0,Consumer,21.74,239.14
ORD-10179,2025-09-07,Clothing,South,Q3,2.0,Corporate,17.66,35.32
ORD-10180,2025-08-29,Electronics,New England,Q3,8.0,Consumer,133.37,1066.96
ORD-10181,2025-12-05,Clothing,Northwest,Q4,,Home Office,14.69,146.9
ORD-10182,2025-09-25,Home & Kitchen,West,Q3,12.0,Home Office,38.56,462.72
ORD-10183,2025-06-29,Clothing,West,Q2,3.0,Consumer,14.959999999999999,44.88
ORD-10184,2025-10-26,Beauty,Midwest,Q4,2.0,Consumer,12.89,25.78
ORD-10185,2025-12-10,Electronics,,Q4,13.0,Corporate,110.97,1442.61
ORD-10186,2025-03-15,Beauty,Southwest,Q1,8.0,Consumer,9.64,77.12
ORD-10187,2025-09-07,Clothing,Southwest,Q3,20.0,Consumer,15.07,301.4
ORD-10188,2025-05-17,Home & Kitchen,Mountain,Q2,6.0,Consumer,34.29,205.74
ORD-10189,2025-03-17,Home & Kitchen,Mid-Atlantic,Q1,13.0,Home Office,33.74,438.62
ORD-10190,2025-08-11,Beauty,Northeast,Q3,15.0,Corporate,11.33,169.95
ORD-10191,2025-10-31,Electronics,West,Q4,8.0,Consumer,115.17,921.36
ORD-10192,2025-01-22,Sports,Mid-Atlantic,Q1,9.0,Consumer,23.63,212.67
ORD-10193,2025-10-17,Beauty,New England,Q4,15.0,Consumer,13.15,197.25
ORD-10194,2025-12-23,Electronics,Southwest,Q4,1.0,Consumer,163.92000000000002,163.92
ORD-10195,2025-10-20,Books,West,Q4,,Consumer,6.16,61.6
ORD-10196,2025-04-08,Beauty,Southwest,Q2,1.0,Home Office,200.735,
ORD-10197,2025-11-18,Home & Kitchen,New England,Q4,11.0,Consumer,35.32,388.52
ORD-10198,2025-06-26,Electronics,Southeast,Q2,2.0,Consumer,143.61,287.22
ORD-10199,2025-08-07,Home & Kitchen,South,Q3,7.0,Consumer,50.51,353.57
ORD-10200,2025-02-22,,West,Q1,15.0,Consumer,120.24,1803.6
ORD-10201,2025-01-28,Clothing,West,Q1,10.0,Home Office,13.9,139.0
ORD-10202,2025-12-16,Clothing,Southwest,Q4,13.0,Consumer,12.38,160.94
ORD-10203,2025-04-29,Beauty,Midwest,Q2,20.0,Consumer,8.98,179.6
ORD-10204,2025-06-11,Electronics,Mid-Atlantic,Q2,13.0,Consumer,136.96,1780.48
ORD-10205,2025-01-11,Sports,Mountain,Q1,14.0,Consumer,23.95,335.3
ORD-10206,2025-08-16,Clothing,Southeast,Q3,4.0,Home Office,14.82,59.28
ORD-10207,2025-02-14,Clothing,Southeast,Q1,12.0,Consumer,15.08,180.96
ORD-10208,2025-10-18,Beauty,Midwest,Q4,3.0,Consumer,10.41,31.23
ORD-10209,2025-02-19,Home & Kitchen,Southeast,Q1,19.0,Consumer,44.1,837.9
ORD-10210,2025-03-30,Clothing,Northwest,Q1,19.0,Corporate,12.31,233.89
ORD-10211,2025-05-19,Clothing,Mountain,Q2,,Corporate,9.85,98.5
ORD-10212,2025-07-22,Clothing,Northwest,Q3,2.0,Corporate,15.709999999999999,31.42
ORD-10213,2025-05-15,Home & Kitchen,West,Q2,17.0,Consumer,36.37,618.29
ORD-10214,2025-05-31,Clothing,Northwest,Q2,2.0,Home Office,11.6,23.2
ORD-10215,2025-10-21,Beauty,Southeast,Q4,6.0,Consumer,8.43,50.58
ORD-10216,2025-09-09,Home & Kitchen,Mid-Atlantic,Q3,18.0,Corporate,37.44,673.92
ORD-10217,2025-03-02,,South,Q1,9.0,Corporate,146.35,1317.15
ORD-10218,2025-06-15,Clothing,Northwest,Q2,7.0,Corporate,12.48,87.36
ORD-10219,2025-11-05,Electronics,,Q4,2.0,Consumer,131.73000000000002,263.46
ORD-10220,2025-04-24,Clothing,West,Q2,1.0,Consumer,200.735,
ORD-10221,2025-02-01,Home & Kitchen,Mid-Atlantic,Q1,1.0,Consumer,32.82,32.82
ORD-10222,2025-12-30,Home & Kitchen,Northwest,Q4,5.0,Consumer,34.08,170.4
ORD-10223,2025-08-28,Beauty,West,Q3,16.0,Corporate,11.59,185.44
ORD-10224,2025-09-28,Electronics,Southwest,Q3,15.0,Consumer,146.87,2203.05
ORD-10225,2025-03-16,Books,Southwest,Q1,17.0,Corporate,4.85,82.45
ORD-10226,2025-03-23,Clothing,South,Q1,6.0,Home Office,13.24,79.44
ORD-10227,2025-07-05,Clothing,Southeast,Q3,2.0,Consumer,13.94,27.88
ORD-10228,2025-01-16,Beauty,Southwest,Q1,1.0,Consumer,200.735,
ORD-10229,2025-07-11,Sports,South,Q3,18.0,Home Office,34.13,614.34
ORD-10230,2025-08-04,Clothing,New England,Q3,7.0,Corporate,14.84,103.88
ORD-10231,2025-06-14,Beauty,New England,Q2,5.0,Consumer,10.040000000000001,50.2
ORD-10232,2025-11-11,Sports,Mid-Atlantic,Q4,8.0,Consumer,26.87,214.96
ORD-10233,2025-12-26,Beauty,South,Q4,2.0,Corporate,12.09,24.18
ORD-10234,2025-12-20,,Northeast,Q4,11.0,Corporate,133.59,1469.49
ORD-10235,2025-01-10,Sports,Southeast,Q1,14.0,Corporate,28.98,405.72
ORD-10236,2025-03-23,Beauty,South,Q1,,Corporate,12.28,122.8
ORD-10237,2025-07-08,Beauty,South,Q3,15.0,Corporate,13.84,207.6
ORD-10238,2025-01-26,Beauty,Midwest,Q1,1.0,Consumer,200.735,
ORD-10239,2025-10-03,Books,Southeast,Q4,,Corporate,5.8,58.0
ORD-10240,2025-02-28,Clothing,Southeast,Q1,7.0,Home Office,18.35,128.45
ORD-10241,2025-09-26,Electronics,Southeast,Q3,11.0,Consumer,143.63,1579.93
ORD-10242,2025-04-03,Home & Kitchen,Mid-Atlantic,Q2,12.0,Corporate,38.260000000000005,459.12
ORD-10243,2025-08-07,Electronics,Southwest,Q3,8.0,Consumer,149.79000000000002,1198.32
ORD-10244,2025-01-02,Clothing,Midwest,Q1,13.0,Consumer,14.33,186.29
ORD-10245,2025-04-17,Home & Kitchen,,Q2,13.0,Home Office,38.19,496.47
ORD-10246,2025-06-12,Clothing,Midwest,Q2,15.0,Consumer,11.57,173.55
ORD-10247,2025-11-05,Beauty,West,Q4,11.0,Consumer,9.84,108.24
ORD-10248,2025-03-27,Sports,West,Q1,17.0,Consumer,26.38,448.46
ORD-10249,2025-12-27,Clothing,Southwest,Q4,5.0,Consumer,13.73,68.65
ORD-10250,2025-12-12,Books,South,Q4,15.0,Corporate,8.0,120.0
ORD-10251,2025-04-02,Electronics,Mountain,Q2,3.0,Consumer,126.0,378.0
ORD-10252,2025-12-24,Sports,West,Q4,3.0,Consumer,26.869999999999997,80.61
ORD-10253,2025-02-03,Sports,,Q1,12.0,Consumer,24.71,296.52
ORD-10254,2025-10-27,Clothing,Mid-Atlantic,Q4,1.0,Corporate,15.61,15.61
ORD-10255,2025-08-06,Clothing,Southwest,Q3,7.0,Corporate,15.39,107.73
ORD-10256,2025-06-10,Clothing,Mountain,Q2,4.0,Corporate,12.46,49.84
ORD-10257,2025-04-22,Sports,Mountain,Q2,,Corporate,23.28,232.8
ORD-10258,2025-03-09,Sports,Northwest,Q1,4.0,Consumer,23.880000000000003,95.52
ORD-10259,2025-10-14,Clothing,Southwest,Q4,2.0,Corporate,16.09,32.18
ORD-10260,2025-01-23,Home & Kitchen,Northeast,Q1,3.0,Consumer,39.75,119.25
ORD-10261,2025-08-13,Electronics,West,Q3,16.0,Consumer,145.83,2333.28
ORD-10262,2025-06-28,Home & Kitchen,Mountain,Q2,12.0,Corporate,33.88,406.56
ORD-10263,2025-12-04,Books,Northwest,Q4,9.0,Consumer,6.4,57.6
ORD-10264,2025-06-18,,Southeast,Q2,17.0,Consumer,144.84,2462.28
ORD-10265,2025-09-16,Books,Northwest,Q3,18.0,Consumer,6.66,119.88
ORD-10266,2025-08-30,Sports,Southwest,Q3,4.0,Corporate,23.869999999999997,95.48
ORD-10267,2025-09-23,Books,South,Q3,9.0,Consumer,8.34,75.06
ORD-10268,2025-02-24,,Northwest,Q1,8.0,Home Office,101.69000000000001,813.52
ORD-10269,2025-03-12,Electronics,Midwest,Q1,4.0,Consumer,136.91,547.64
ORD-10270,2025-03-26,Electronics,Southwest,Q1,8.0,Corporate,141.91,1135.28
ORD-10271,2025-11-19,Beauty,Southwest,Q4,6.0,Home Office,10.040000000000001,60.24
ORD-10272,2025-01-12,Beauty,Northeast,Q1,2.0,Corporate,9.709999999999999,19.42
ORD-10273,2025-09-17,,Southeast,Q3,6.0,Corporate,131.47,788.82
ORD-10274,2025-01-15,Sports,Mid-Atlantic,Q1,4.0,Corporate,25.939999999999998,103.76
ORD-10275,2025-10-17,Clothing,Northwest,Q4,19.0,Consumer,13.15,249.85
ORD-10276,2025-11-03,,Northeast,Q4,1.0,Home Office,129.97,129.97
ORD-10277,2025-08-04,Clothing,Mid-Atlantic,Q3,11.0,Consumer,12.15,133.65
ORD-10278,2025-05-09,Electronics,Northwest,Q2,5.0,Home Office,131.39999999999998,657.0
ORD-10279,2025-03-19,Clothing,Mid-Atlantic,Q1,14.0,Corporate,13.95,195.3
ORD-10280,2025-02-24,Clothing,Southwest,Q1,2.0,Home Office,13.32,26.64
ORD-10281,2025-05-29,Sports,Southeast,Q2,5.0,Consumer,25.63,128.15
ORD-10282,2025-07-05,Sports,South,Q3,,Home Office,34.699999999999996,347.0
ORD-10283,2025-07-30,Clothing,Southwest,Q3,18.0,Consumer,14.04,252.72
ORD-10284,2025-10-04,Beauty,Mid-Atlantic,Q4,12.0,Corporate,10.16,121.92
ORD-10285,2025-04-15,Home & Kitchen,West,Q2,1.0,Consumer,36.68,36.68
ORD-10286,2025-08-04,Clothing,West,Q3,8.0,Corporate,13.53,108.24
ORD-10287,2025-09-12,Beauty,New England,Q3,14.0,Corporate,10.73,150.22
ORD-10288,2025-08-24,Beauty,Southwest,Q3,20.0,Consumer,11.72,234.4
ORD-10289,2025-06-05,Home & Kitchen,Southeast,Q2,1.0,Corporate,33.45,33.45
ORD-10290,2025-05-30,Home & Kitchen,Southwest,Q2,19.0,Consumer,36.15,686.85
ORD-10291,2025-04-24,Beauty,Southwest,Q2,14.0,Corporate,10.35,144.9
ORD-10292,2025-09-30,Clothing,Northwest,Q3,18.0,Corporate,16.55,297.9
ORD-10293,2025-10-22,Sports,New England,Q4,19.0,Consumer,27.39,520.41
ORD-10294,2025-05-14,Electronics,Mid-Atlantic,Q2,3.0,Corporate,141.27,423.81
ORD-10295,2025-02-01,Sports,Mid-Atlantic,Q1,20.0,Corporate,23.65,473.0
ORD-10296,2025-09-21,Clothing,South,Q3,16.0,Consumer,15.12,241.92
ORD-10297,2025-08-20,Electronics,Midwest,Q3,10.0,Home Office,113.02,1130.2
ORD-10298,2025-03-26,Home & Kitchen,Southwest,Q1,15.0,Corporate,28.43,426.45
ORD-10299,2025-10-03,Clothing,Mountain,Q4,20.0,Consumer,11.25,225.0
ORD-10300,2025-12-09,Sports,Southwest,Q4,9.0,Consumer,28.21,253.89
ORD-10301,2025-11-01,Clothing,Northwest,Q4,13.0,Corporate,15.65,203.45
ORD-10302,2025-01-02,Beauty,Mid-Atlantic,Q1,18.0,Consumer,8.87,159.66
ORD-10303,2025-12-27,Clothing,Southeast,Q4,13.0,Consumer,13.01,169.13
ORD-10304,2025-08-28,Electronics,Northeast,Q3,16.0,Consumer,133.38,2134.08
ORD-10305,2025-06-30,Clothing,Southeast,Q2,6.0,Corporate,11.05,66.3
ORD-10306,2025-09-11,Home & Kitchen,West,Q3,3.0,Corporate,39.21,117.63
